aX,aY,aZ
7,8,-3
7,-1,-2
7,-4,-3
7,-1,-4
4,0,-3
2,-2,-4
-1,-1,-3
-1,-2,-1
0,-1,1
0,-1,0
0,-2,1
-1,0,1
-1,0,2
-2,0,0
1,1,1

-25,12,4
-46,24,10
-48,0,33
-23,-34,18
-50,-4,-19
-41,22,-47
20,3,-62
56,-29,-34
73,-51,-36
66,-81,-21
127,-35,49
121,84,74
83,48,111
-26,-45,-8
-32,-15,-29
-6,81,-26
-18,15,-8
-25,-59,-38
-46,-56,-46
-51,-6,-23
-46,30,8
-41,35,16
-46,22,21
-42,5,18
-32,-13,17
-25,-11,4
-8,1,-1
4,12,4
12,7,-1
18,-10,15
22,-9,14
16,2,9
14,4,3
13,4,4
11,0,0
4,1,-6
2,3,-6
3,2,-4
0,3,-4
-3,1,-4
-2,1,-1
0,-2,-1
6,0,4
4,2,8
3,0,5
0,0,1
1,-2,-1
-2,-1,-1
-2,-1,-1
1,0,-1

